"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.627595667E0,-1.308898201E0,5.771680151E0,-1.436721697E0,6.090129350E0
2.637621667E0,-1.110608666E0,4.968634079E0,-1.344111156E0,5.265682388E0
2.647647667E0,8.433044448E-2,3.896877456E0,-6.917992866E-1,3.958705822E0
2.657672667E0,1.343490913E0,2.321506582E0,-5.618566132E-1,2.740445857E0
2.667698667E0,5.923598561E-1,-4.344434452E-1,-1.394594262E0,1.576237439E0
2.677723667E0,-9.634714508E-1,-3.140781017E0,-3.450679938E0,4.764449041E0
2.687749667E0,-2.098658961E0,-3.674756352E0,-2.957847367E0,5.163048007E0
2.697775667E0,-3.209514160E0,-3.436673518E0,-3.911027133E-1,4.718545045E0
2.707800667E0,-3.333569564E0,-2.932264044E0,8.095271266E-1,4.512891826E0
2.717826667E0,-2.948431596E0,-1.870141295E0,1.805337773E0,3.930638855E0
2.727851667E0,-2.753656457E0,-8.125700176E-1,2.168953895E0,3.598229414E0
2.737877667E0,-2.232412557E0,2.215129942E-1,2.347647729E0,3.247180884E0
2.747903667E0,-1.585644286E0,1.093329340E0,2.455423608E0,3.120695746E0
2.757928667E0,-1.163232730E0,1.613541498E0,2.387678937E0,3.107673930E0
2.767954667E0,-7.792422771E-1,1.844568497E0,1.957682884E0,2.800388141E0
2.777979667E0,-6.343705657E-1,1.877649119E0,1.390888882E0,2.421273242E0
2.788005667E0,-5.816374514E-1,1.854087764E0,8.554347861E-1,2.123137357E0
2.798031667E0,-4.978509441E-1,1.903676246E0,4.162597740E-1,2.011246134E0
2.808056667E0,-4.273714571E-1,1.999707992E0,-1.180640731E-1,2.048271843E0
2.818082667E0,-3.800319607E-1,2.045508063E0,-5.226492780E-1,2.145154958E0
2.828107667E0,-1.989167947E-1,2.070159339E0,-9.036865944E-1,2.267548686E0
2.838133667E0,-3.678300641E-2,2.037749392E0,-1.262244875E0,2.397298000E0
2.848158667E0,1.192590795E-1,1.891097715E0,-1.530296443E0,2.435627332E0
2.858184667E0,3.996375286E-1,2.055510310E0,8.276916482E-2,2.095634396E0
2.868210667E0,2.937614539E0,5.128204009E0,4.733443862E0,7.571891860E0
2.878235667E0,8.948098778E0,3.573628172E0,-5.897854294E0,1.129707818E1
2.888261667E0,8.368268993E0,-2.976195930E0,-2.800223390E0,9.312728880E0
2.898286667E0,5.923399025E0,-7.066898060E0,4.582095702E0,1.029676188E1
2.908312667E0,4.692318056E0,-9.515010309E0,-3.820925049E0,1.127620229E1
2.918338667E0,4.065930693E0,-9.842867199E0,-5.085065445E-1,1.066172622E1
2.928363667E0,2.439938134E0,-7.766150208E0,2.983210834E0,8.669828950E0
